km_por_ano,idade_modelo,preco,vendido
35085.22134,24,30941.02,1
12622.05362,26,40557.96,1
11440.79806,18,89627.5,0
43167.32682,9,95276.14,0
12770.1129,10,117384.68,1
23594.53374,17,55405.26,1
16077.3066,22,93415.61,1
18666.73466,16,65265.09,0
12607.56956,25,43917.53,1
24000.08742,21,107860.41,1
22635.3671,8,75668.42,0
24292.9873,23,97411.7,0
26608.82756,15,91062.94,0
35402.26132,17,73156.01,0
11479.42222,19,82622.46,1
20041.11102,22,64115.99,1
15990.40224,18,48974.9,1
35489.16568,13,28007.36,1
22680.42862,9,94217.51,0
25623.91148,24,111136.8,1
32830.536,10,37384.17,1
15053.76636,12,36271.82,1
32782.2558,25,82597.52,0
12515.83718,22,81831.93,0
25044.54908,11,92271.67,0
23444.86512,22,55734.53,1
19569.5744,20,67789.32,1
19941.33194,25,71840.26,0
20718.64316,17,25413.75,1
17731.70812,20,64497.7,0
26441.4562,17,76894.04,0
32661.5553,11,48359.62,1
27020.8186,22,56539.06,0
20063.641779999998,18,81757.83,0
22527.54132,24,80965.58,0
43336.30752,26,82776.88,0
25734.95594,21,61589.78,0
24746.82118,18,66655.85,0
27941.36108,13,85107.04,0
12350.07516,17,113990.61,0
34208.13104,22,29338.23,1
23114.95042,21,57463.74,0
19485.88872,16,41296.05,0
38476.10072,23,96446.05,0
18381.88148,23,53993.85,1
23609.0178,16,64387.6,0
21034.0738,16,116393.77,0
14099.42774,9,75332.79,0
41796.16914,24,53268.18,0
18414.06828,24,102184.72,0
27249.34488,11,107433.92,0
25395.3852,18,93167.18,0
28092.63904,16,88662.57,0
24281.72192,18,25889.56,1
31240.50808,16,70653.63,0
24846.60026,22,76666.68,0
25839.56304,25,106302.54,1
39876.22652,18,43890.33,1
20731.51788,26,62553.77,1
34787.49344,16,46776.67,1
25089.6106,24,34985.57,1
28380.7109,11,80251.29,0
14559.69898,26,54196.09,1
36490.17516,23,16736.17,1
17884.59542,20,45467.13,1
16159.38294,23,42956.65,1
8986.55456,17,85338.55,1
24404.03176,25,12017.79,1
18682.82806,24,105524.5,1
33722.11036,25,49745.4,1
27373.26406,25,95592.87,0
18344.86666,14,86444.77,1
16669.54372,24,33596.02,1
38579.09848,12,75782.68,0
17593.30488,10,84454.22,0
21869.32126,18,81748.68,0
14786.61592,20,18576.43,1
18061.62282,14,64773.76,0
34109.9613,26,31250.34,1
30324.79362,18,46864.83,1
25973.13826,25,18905.64,1
10333.57214,19,90767.87,0
19402.20304,20,92508.98,0
27970.3292,25,90378.63,0
16004.8863,18,42569.3,1
27093.2389,16,62620.45,0
6939.47408,26,60101.5,1
21129.02486,20,48978.94,1
46534.0661,11,69271.08,0
25498.38296,25,82495.58,0
20860.26508,25,11979.47,1
15285.51132,19,77816.76,0
25578.84996,22,41273.9,1
17892.64212,16,103459.05,1
20041.11102,13,73901.01,0
20972.91888,21,75390.33,0
22723.8808,14,75457.92,1
22194.40794,22,75285.5,1
13800.0905,24,95177.42,1
36963.32112,20,95676.08,0
27358.78,22,45343.51,1
29727.72848,26,96467.94,0
9229.5649,26,90684.94,0
19711.19632,12,43390.38,1
21318.92698,13,105329.2,0
15480.24146,13,84517.72,1
17068.66004,26,61696.4,0
26895.29008,24,38245.75,1
18890.43292,19,79957.38,1
13692.26472,21,91674.9,0
18135.65246,17,96028.69,0
14278.06448,9,103326.66,1
14590.27644,12,107562.56,0
18309.46118,19,35738.06,1
23293.58716,19,32582.02,1
21534.57854,22,26871.75,1
17738.14548,21,103336.64,1
18013.34262,20,44303.89,0
22673.99126,25,58770.23,1
29307.69074,13,95838.99,0
23403.02228,21,80921.29,0
22638.58578,19,94786.28,0
26539.625939999998,26,102461.86,1
31948.61768,25,66761.79,0
15946.95006,15,95016.78,1
20660.70692,25,23334.06,1
15166.42016,14,66311.2,0
17234.42206,22,20199.69,1
24391.15704,12,74419.32,0
22099.45688,12,76829.64,0
11989.583,24,72033.52,0
36540.0647,22,101257.79,1
26126.02556,12,41923.42,1
17348.6852,23,16547.2,1
19529.3409,25,94912.13,0
19743.38312,11,39284.89,1
18481.66056,18,58005.41,1
24534.3883,18,22629.92,1
15126.18666,12,66930.86,0
33152.404,25,40436.0,0
28034.7028,19,51383.65,1
20152.15548,15,79893.16,1
14857.426879999999,25,72450.5,0
28313.11862,25,56535.6,1
21008.32436,23,81437.98,0
25384.11982,19,66587.22,0
21035.68314,19,96076.38,0
16404.00262,26,98132.27,1
23800.52926,16,99431.8,0
20242.27852,19,35021.38,1
24262.40984,20,96253.86,0
23151.96524,25,84931.89,0
24412.07846,15,45154.74,1
15024.79824,20,78835.63,1
16938.303499999998,26,58980.31,1
18941.9318,10,64465.21,1
22715.8341,19,38315.73,1
10689.23628,13,90298.67,0
15377.243699999999,16,52555.22,0
25940.95146,24,24441.23,1
22210.50134,15,107431.11,0
10882.35708,16,64096.95,0
19069.06966,11,53669.06,1
31340.28716,24,60693.34,0
39367.67508,15,83884.53,0
17326.15444,25,68563.86,1
26669.98248,23,82261.92,0
31543.064,22,116027.14,1
26195.22718,20,33361.66,1
18191.97936,11,40174.67,0
23214.7295,17,100872.41,0
22352.12326,20,91729.32,1
12448.2449,17,37220.88,1
22097.84754,26,42932.35,1
12316.27902,12,105354.79,0
38917.05988,18,70237.57,0
29854.86634,26,27085.34,1
13006.685879999999,20,103986.22,0
30010.97232,25,53868.23,1
13499.14392,22,103445.43,0
31601.00024,20,50956.1,0
18069.66952,21,41999.23,1
19312.079999999998,24,42653.18,1
14226.5656,20,98138.6,0
40849.87722,22,77999.11,0
20636.56682,17,30009.3,1
22101.06622,16,97198.21,0
19529.3409,22,46167.55,1
22226.59474,18,33977.16,1
19633.948,11,101201.24,0
16589.07672,21,24148.18,1
30221.79586,17,83091.96,0
11217.0998,18,38810.77,1
19360.3602,25,64021.74,0
10840.51424,23,59679.59,1
30957.26424,26,70260.51,1
34832.55496,26,33855.29,1
23831.10672,23,90108.76,1
12470.77566,9,70021.62,0
19606.58922,12,88631.4,1
19434.38984,18,94664.91,0
10534.73964,17,99968.88,0
10454.27264,16,50061.13,1
17347.07586,20,60974.59,1
25213.52978,24,82931.27,0
28853.85686,25,39039.59,1
29595.7626,14,53963.73,1
13484.65986,22,15305.7,1
13833.88664,13,45718.37,0
17477.4324,18,96180.51,1
14039.88216,17,39007.92,1
40202.92254,25,88150.84,0
17932.87562,16,97110.55,1
41989.28994,18,86931.31,0
19711.19632,24,24341.89,1
14603.15116,13,42751.8,1
31454.5503,21,71739.52,0
9720.4136,18,65241.32,0
12546.414639999999,25,73067.51,1
19447.26456,26,60570.37,1
17305.23302,24,64984.26,0
17340.6385,22,80657.07,1
17817.00314,21,83781.08,0
40312.35766,23,23448.52,1
18682.82806,23,39346.34,1
35738.61338,18,71532.28,0
44361.4571,24,70118.54,0
13558.6895,21,70719.34,1
18119.55906,26,36936.61,1
17899.07948,16,95422.54,1
22836.5346,24,60788.08,0
22727.09948,26,73153.25,1
22947.57906,25,72758.98,0
19139.88062,23,41366.51,1
46458.42712,11,54764.77,0
19184.94214,19,62605.17,1
17911.9542,18,37530.15,1
15699.1117,26,61726.41,0
18259.57164,13,67703.88,0
34575.06056,22,65691.55,0
15708.76774,16,38234.77,1
44709.07454,23,97033.21,0
25894.2806,17,34119.04,1
17540.19666,22,95342.37,0
30371.46448,21,65200.08,0
35302.48224,18,73548.4,0
21616.65488,25,40769.51,1
43510.11624,21,48927.78,1
24122.39726,24,80858.31,0
13381.6621,21,48885.2,1
33134.70126,21,35631.97,1
41706.0461,17,79025.54,0
24487.71744,17,49590.78,0
13507.19062,22,24614.46,1
23491.53598,18,85914.82,0
14176.67606,11,84192.06,1
21143.50892,8,110558.98,0
23277.49376,20,78617.01,0
44393.6439,23,58933.0,1
21674.59112,13,45677.29,1
16083.74396,24,78547.52,1
29302.86272,23,41605.44,1
14128.39586,25,30481.01,1
22947.57906,14,105677.42,1
16379.86252,20,45817.6,1
33071.937,15,96407.65,0
29280.33196,26,80183.01,0
21829.08776,9,48616.33,1
15264.589899999999,15,58761.47,1
25826.68832,23,56037.14,1
31884.24408,23,34621.52,1
22113.94094,8,108416.34,1
35428.01076,14,97926.72,0
19101.25646,14,65811.04,1
17013.94248,15,50146.34,0
12388.69932,18,109215.68,1
26669.98248,23,56158.82,0
35936.5622,22,25495.31,1
12737.9261,12,93179.79,1
24289.76862,16,80301.3,0
14897.66038,13,80608.35,1
7567.11668,13,70524.3,1
22461.55838,26,50307.59,1
21439.62748,20,52763.86,0
36160.26046,19,74560.79,0
40040.3792,25,50272.61,1
16899.67934,14,48031.11,1
11479.42222,18,60835.06,0
19942.94128,26,103001.47,0
30814.03298,26,44724.71,0
36837.7926,17,62896.9,0
26769.76156,12,36757.34,1
16881.976599999998,17,99345.47,0
27790.08312,25,35187.66,1
29125.83532,25,60494.2,0
28507.84876,16,32140.32,1
17791.2537,26,72494.65,0
20902.10792,14,60963.98,1
28556.12896,22,29846.95,1
19221.95696,24,96629.93,0
27522.932679999998,24,17099.53,1
21837.13446,15,91871.81,0
20264.80928,23,105254.27,1
26694.12258,25,66800.19,0
28174.71538,13,71884.55,0
36623.75038,24,99362.45,1
15823.03088,21,65502.27,0
25079.95456,10,61589.68,0
18676.3907,26,85528.69,1
30892.89064,21,51048.1,1
15993.62092,10,89204.35,0
18766.51374,19,34106.61,1
21375.25388,21,93591.27,1
13911.13496,26,42460.74,1
14928.23784,20,105170.22,1
40396.04334,26,89394.0,0
22532.36934,14,81849.27,0
32835.36402,22,21698.45,1
11736.91662,25,67026.41,1
30422.96336,22,58795.57,1
34398.03316,23,32578.24,1
14073.6783,12,106744.63,0
21243.288,16,50227.03,1
26056.82394,26,29275.66,1
26843.7912,11,87249.72,0
43189.857579999996,26,60412.78,0
14707.75826,25,58403.01,1
20229.4038,26,60611.05,1
15045.71966,10,51375.39,0
23721.6716,14,94724.39,1
26518.70452,16,115907.54,1
27757.89632,25,108072.15,1
15267.80858,25,71393.18,1
35276.7328,24,64356.4,0
19514.85684,23,65512.96,0
37296.4545,19,73526.68,0
17083.1441,24,86962.43,1
16587.46738,15,75308.4,1
21203.0545,22,77450.66,0
27038.52134,23,87133.58,0
12243.85872,17,72921.91,0
38868.77968,13,54881.34,1
25649.66092,19,51414.06,1
31010.37246,19,73995.74,0
28734.7657,26,58540.97,0
25704.37848,17,92527.23,0
11506.780999999999,23,67457.71,0
46300.7118,25,42270.45,1
10655.44014,10,66502.41,0
11889.80392,19,76128.49,0
29302.86272,24,48176.44,1
14025.3981,18,99855.89,0
10317.47874,12,32988.68,1
24714.63438,20,95672.85,0
12787.81564,23,40562.78,1
14393.936959999999,14,89447.12,1
35482.72832,15,101020.51,1
31213.1493,24,61876.6,0
16106.27472,25,10523.62,1
15018.36088,25,50350.21,1
14163.80134,21,71042.66,1
34900.14724,16,89330.23,1
28480.48998,22,38275.15,1
21080.74466,18,56944.59,0
15563.92714,21,71172.51,0
13499.14392,20,21425.97,1
21911.164099999998,25,33195.17,1
23794.0919,22,80133.35,1
31866.54134,17,95451.76,0
17788.03502,19,75429.15,0
30344.1057,18,73828.87,0
12639.75636,15,53441.7,0
31018.41916,20,87397.7,0
31802.16774,26,40425.74,1
21463.76758,20,59712.76,1
13666.51528,21,53620.03,1
23996.86874,19,69926.45,0
22717.44344,16,99947.31,1
28297.02522,23,71901.77,0
28269.66644,13,75606.69,0
27355.56132,23,100109.51,1
17501.5725,19,54470.12,1
37721.32026,22,55234.23,0
14265.18976,25,16100.55,1
30543.66386,22,27837.75,1
23351.5234,19,92347.47,1
13785.60644,18,51786.94,1
18473.61386,18,88147.2,1
20945.5601,22,48748.05,1
19648.43206,26,82718.96,1
17321.32642,22,47725.66,1
11065.82184,25,96824.04,1
44688.15312,16,70160.04,0
19772.35124,22,106663.84,1
14714.19562,26,12679.47,1
27310.4998,13,53256.53,0
38556.56772,18,75329.62,0
22569.38416,20,42410.77,1
14855.81754,24,48904.71,0
32890.08158,13,38707.38,1
19304.0333,23,87000.67,1
17902.29816,18,55680.57,0
31578.46948,24,31682.9,1
